Application ID,Age,Gender,Marital Status (at the time of application),No of dependents,Income,Education,Profession ,Type of residence,No of months in current residence,No of months in current company,Performance Tag
59996929,36,M,Married,2,42,Professional,SAL,Rented,91,45,0
969062742,43,M,Married,5,25,Masters,SE,Rented,108,57,0
263198025,35,M,Married,5,42,Bachelor,SAL,Rented,101,46,0
72180426,37,M,Married,5,46,Masters,SE_PROF,Rented,93,57,0
944793658,29,M,Single,1,49,Professional,SAL,Owned,99,17,0
539924921,49,M,Married,2,31,Masters,SAL,Rented,108,55,0
229275135,42,M,Married,5,42,Masters,SE,Rented,116,58,0
261333507,26,M,Single,5,33,Masters,SE_PROF,Rented,109,39,0
299836432,48,F,Married,3,35,Phd,SAL,Rented,115,57,0
559139774,38,M,Married,3,43,Bachelor,SAL,Rented,101,47,0
676809595,30,M,Single,2,50,Professional,SAL,Rented,111,51,0
246120697,40,M,Married,3,47,Masters,SAL,Rented,91,58,0
942453948,47,M,Single,1,33,Professional,SAL,Rented,110,55,0
714943699,30,M,Married,4,27,Professional,SAL,Rented,114,58,0
898561748,48,M,Married,4,26,Masters,SAL,Others,115,58,0
913140909,39,F,Married,2,53,Masters,SE_PROF,Owned,101,49,0
975085624,17,M,Single,2,31,Bachelor,SAL,Living with Parents,112,50,0
354139458,44,M,Married,1,40,Masters,SAL,Rented,114,58,0
335496361,38,M,Married,2,34,Professional,SE_PROF,Rented,70,55,0
139842806,40,M,Married,4,41,Bachelor,SE_PROF,Rented,72,54,0
456275546,37,M,Married,4,43,Professional,SAL,Company provided,100,13,0
377122230,35,M,Married,5,54,Professional,SE,Rented,95,30,0
187398899,42,M,Married,3,45,Bachelor,SE,Rented,70,55,0
686414499,47,M,Married,4,39,Masters,SAL,Rented,69,49,0
447527267,33,M,Married,4,44,Masters,SE_PROF,Rented,98,30,0
829997871,42,F,Married,1,55,Masters,SAL,Rented,112,18,0
484468249,44,M,Single,4,33,Masters,SE_PROF,Owned,100,55,0
270870452,36,M,Married,2,53,Bachelor,SAL,Rented,105,58,0
995659690,36,M,Married,3,47,Bachelor,SAL,Rented,89,35,0
720068644,43,M,Married,5,51,Masters,SAL,Rented,108,25,0
665633706,35,M,Married,2,55,Masters,SE_PROF,Rented,105,46,0
290948662,28,F,Single,1,47,Professional,SAL,Rented,99,56,0
37609385,29,M,Single,1,44,Masters,SE_PROF,Rented,91,48,0
950296030,23,M,Single,1,36,Bachelor,SE_PROF,Rented,101,55,0
47509215,42,M,Married,4,50,Professional,SE,Owned,114,10,0
841163519,47,M,Married,1,35,Masters,SE_PROF,Rented,107,37,0
552541920,39,M,Married,5,55,Bachelor,SE_PROF,Rented,115,52,0
703718903,38,M,Married,4,48,Masters,SE_PROF,Others,108,36,0
415294,40,M,Married,2,26,Bachelor,SE_PROF,Rented,113,54,0
639917916,50,M,Single,1,43,Professional,SE_PROF,Rented,115,51,0
291477332,35,M,Married,3,53,Phd,SAL,Rented,91,28,0
734302180,32,M,Married,5,42,Professional,SAL,Rented,104,54,0
898214744,34,M,Married,5,48,Professional,SAL,Rented,74,50,0
504040605,32,M,Married,4,51,Professional,SAL,Owned,44,35,0
757612963,46,M,Single,2,35,Professional,SAL,Owned,77,50,0
372382604,38,M,Married,2,54,Masters,SE,Rented,103,30,0
483063095,20,M,Single,2,38,Bachelor,SAL,Rented,110,54,0
242945486,37,M,Married,1,44,Bachelor,SE,Rented,81,44,0
638367091,37,F,Married,5,40,Bachelor,SE_PROF,Rented,105,47,0
204228510,27,M,Single,4,33,Bachelor,SAL,Rented,106,55,0
846804601,51,M,Married,4,31,Professional,SAL,Owned,107,41,0
753920840,45,M,Single,3,39,Professional,SAL,Rented,72,55,0
608997825,37,F,Married,1,38,Masters,SE_PROF,Rented,72,54,0
243687802,31,F,Married,2,55,Phd,SE,Rented,96,33,0
910832278,41,F,Married,5,43,Masters,SAL,Rented,90,47,0
410188098,39,M,Married,2,52,Bachelor,SE,Rented,96,54,0
838128115,31,M,Married,4,43,Masters,SE,Rented,100,30,0
96037400,52,M,Married,3,41,Masters,SAL,Owned,82,55,0
985689740,36,F,Married,2,45,Phd,SAL,Rented,100,39,0
442653005,41,M,Married,4,54,Masters,SAL,Rented,81,33,0
25124967,44,F,Married,1,36,Professional,SAL,Rented,64,36,0
657744163,43,M,Married,4,49,Professional,SE_PROF,Owned,89,56,0
927100662,26,M,Single,1,39,Masters,SAL,Owned,116,29,0
624372823,30,F,Married,5,54,Bachelor,SE,Rented,99,58,0
788194400,19,F,Single,1,27,Masters,SE_PROF,Owned,110,55,0
890314557,31,M,Married,2,44,Masters,SAL,Rented,53,56,0
978872522,35,M,Single,2,46,Masters,SE,Owned,107,37,0
666356311,43,M,Married,1,49,Bachelor,SE_PROF,Rented,63,56,0
785517573,39,M,Married,4,13,Professional,SAL,Company provided,108,51,0
851643331,39,M,Married,1,47,Professional,SAL,Rented,107,52,0
674581211,32,M,Married,1,47,Bachelor,SAL,Rented,107,38,0
63688688,42,M,Married,3,51,Masters,SAL,Rented,116,3,0
740523134,28,F,Single,2,39,Bachelor,SAL,Rented,110,36,0
274251839,52,F,Married,1,33,Bachelor,SAL,Rented,106,38,0
671402281,33,M,Married,2,54,Masters,SE,Rented,92,20,0
781513760,29,F,Single,4,52,Professional,SE_PROF,Rented,108,22,0
257007409,35,M,Married,4,35,Masters,SE_PROF,Owned,85,49,0
799702442,28,M,Single,4,49,Bachelor,SE,Owned,107,47,0
852632983,38,F,Married,2,54,Masters,SE,Rented,97,34,0
513613043,40,F,Married,1,51,Masters,SE,Owned,96,39,0
167815183,40,F,Married,4,53,Professional,SAL,Owned,114,24,0
537291350,46,M,Married,1,33,Masters,SAL,Rented,95,47,0
845835388,50,M,Married,4,41,Masters,SAL,Rented,101,18,0
923613300,37,M,Married,1,25,Masters,SAL,Rented,97,33,0
239609037,43,M,Married,3,48,Phd,SE,Owned,54,36,0
65381112,38,M,Married,5,19,Professional,SAL,Owned,110,52,0
763449129,25,M,Single,4,24,Professional,SAL,Owned,115,58,0
694501316,29,M,Single,4,50,Bachelor,SAL,Rented,85,19,0
142586227,32,F,Married,5,43,Professional,SAL,Rented,102,12,0
37184163,35,M,Married,2,43,Professional,SE_PROF,Rented,103,46,0
92044169,34,M,Married,5,52,Professional,SE_PROF,Owned,109,28,0
507928401,43,M,Married,4,50,Masters,SE_PROF,Owned,56,55,0
49503138,33,M,Single,5,41,Professional,SAL,Rented,108,5,0
386893064,43,M,Married,2,52,Masters,SE_PROF,Rented,113,49,0
792005042,47,M,Married,1,29,Professional,SE,Owned,91,49,0
951114135,37,M,Married,4,53,Bachelor,SE,Owned,110,15,0
36383287,37,M,Married,2,39,Professional,SE,Rented,109,27,0
73999371,40,F,Married,1,29,Masters,SAL,Rented,71,57,0
316181118,39,M,Married,4,51,Bachelor,SE,Owned,91,47,0
58911008,51,F,Married,5,45,Professional,SAL,Rented,109,50,0
12828838,45,M,Married,4,29,Masters,SAL,Rented,109,50,0
6821665,30,F,Married,5,25,Bachelor,SAL,Rented,116,47,0
469007470,53,F,Married,4,32,Masters,SAL,Rented,105,52,0
485154616,31,M,Single,2,45,Professional,SAL,Rented,81,58,0
925666948,24,M,Single,4,34,Professional,SAL,Rented,93,49,0
300806796,30,F,Married,3,55,Phd,SAL,Rented,74,49,0
306411477,38,M,Married,2,52,Professional,SE_PROF,Owned,99,31,0
716602738,28,F,Single,3,50,Professional,SAL,Owned,109,46,0
51700621,34,M,Married,3,43,Bachelor,SE_PROF,Owned,104,52,0
625780313,23,M,Single,2,18,Masters,SAL,Owned,108,46,0
820265039,33,M,Married,4,34,Masters,SAL,Rented,110,53,0
970833252,44,M,Married,4,43,Phd,SE_PROF,Rented,89,33,0
638549140,40,M,Married,3,38,Masters,SAL,Rented,94,49,0
814624395,52,M,Single,2,24,Phd,SE,Rented,94,40,0
12359984,18,M,Single,1,34,Phd,SAL,Owned,112,30,0
511416724,42,M,Married,1,26,Professional,SAL,Owned,106,53,0
152882413,35,M,Married,1,33,Bachelor,SAL,Rented,85,57,0
903991761,39,M,Married,2,42,Bachelor,SAL,Company provided,109,27,0
424702845,24,F,Single,5,37,Masters,SAL,Rented,85,57,0
85208703,23,M,Single,3,27,Masters,SE,Rented,106,46,0
626486729,33,M,Single,4,48,Masters,SE,Rented,93,42,0
94778163,24,F,Single,4,33,Masters,SE,Rented,114,38,0
931570971,41,M,Married,5,45,Masters,SAL,Rented,113,47,0
738698604,41,F,Married,1,40,Professional,SE_PROF,Owned,92,53,0
454397596,37,M,Married,1,34,Masters,SAL,Rented,110,52,0
375849313,42,F,Married,2,52,Bachelor,SE_PROF,Rented,94,57,0
654953904,38,M,Married,2,54,Bachelor,SAL,Owned,101,40,0
821252302,39,M,Married,1,51,Bachelor,SAL,Rented,78,39,0
93310130,32,F,Married,2,50,Masters,SAL,Owned,92,48,0
358869535,31,M,Married,2,35,Professional,SAL,Rented,107,44,0
297326857,38,M,Married,4,43,Bachelor,SAL,Rented,89,54,0
610389469,47,M,Married,1,43,Masters,SAL,Rented,109,46,0
928919840,28,M,Single,2,50,Masters,SAL,Rented,116,17,0
664046834,34,M,Married,3,55,Masters,SAL,Owned,90,38,0
3512302,37,M,Married,4,33,Masters,SAL,Rented,95,46,0
607681662,31,F,Single,4,55,Bachelor,SAL,Rented,66,43,0
917111281,25,M,Single,2,40,Professional,SE,Owned,107,55,0
261174027,33,M,Married,4,51,Bachelor,SAL,Owned,82,50,0
386992862,50,M,Married,4,7,Masters,SE,Rented,107,57,0
118748072,35,M,Married,2,38,Masters,SE_PROF,Rented,109,48,0
902482925,32,M,Single,5,34,Bachelor,SAL,Owned,75,52,0
636812926,43,M,Married,4,55,Masters,SAL,Owned,114,35,0
43793358,37,M,Married,1,48,Professional,SE,Rented,81,14,0
727235790,25,M,Single,5,40,Masters,SE_PROF,Rented,79,48,0
740390793,51,M,Married,4,19,Professional,SAL,Owned,110,52,0
110870585,27,F,Single,1,38,Masters,SE,Rented,95,57,0
451417087,40,M,Married,5,50,Professional,SE_PROF,Rented,29,39,0
962570346,47,M,Married,4,42,Phd,SE_PROF,Rented,90,38,0
201828698,29,F,Single,4,37,Masters,SE,Rented,96,48,0
181248481,28,M,Single,4,44,Bachelor,SE,Rented,115,55,0
797770011,43,M,Married,5,49,Professional,SAL,Owned,88,6,0
363083732,51,M,Married,4,31,Professional,SAL,Owned,114,53,0
596259612,36,M,Married,1,45,Professional,SE_PROF,Owned,101,16,0
627605933,52,F,Married,4,39,Professional,SE,Rented,87,53,0
842044888,53,M,Married,1,35,Professional,SAL,Rented,73,58,0
506714441,30,M,Married,1,36,Professional,SE_PROF,Rented,115,50,0
125043285,42,F,Married,5,37,Professional,SE,Rented,107,52,0
231343682,28,M,Single,2,49,Bachelor,SE_PROF,Rented,67,41,0
312810588,39,M,Married,2,49,Masters,SE,Owned,110,22,0
579409437,28,M,Single,5,52,Masters,SE,Rented,79,52,0
818024607,36,F,Married,3,46,Professional,SAL,Rented,85,40,0
417910724,31,F,Married,2,30,Bachelor,SE,Rented,116,50,0
397441875,42,M,Married,4,41,Bachelor,SE,Rented,75,46,0
995611861,28,M,Single,2,54,Professional,SE_PROF,Rented,102,9,0
117108588,40,F,Married,5,44,Masters,SE,Rented,85,48,0
680687947,35,M,Married,4,55,Others,SAL,Owned,68,44,0
609881561,39,F,Married,3,55,Professional,SE,Rented,112,57,0
425487366,41,M,Married,1,53,Professional,SAL,Rented,74,35,0
345908033,33,F,Married,2,53,Masters,SAL,Rented,74,38,0
398363105,28,M,Single,2,29,Masters,SE_PROF,Rented,105,44,0
121200920,41,M,Married,1,30,Masters,SAL,Rented,86,40,0
100752550,40,M,Married,3,34,Masters,SE_PROF,Rented,61,43,0
122140277,33,M,Married,2,39,Professional,SAL,Owned,91,44,0
599094378,33,M,Married,5,41,Bachelor,SE,Owned,109,53,0
933542432,47,M,Married,1,18,Masters,SAL,Rented,112,36,0
816982638,33,M,Married,2,41,Masters,SE_PROF,Rented,101,43,0
970523127,42,F,Single,4,51,Professional,SAL,Rented,70,44,0
234607091,24,M,Single,3,29,Professional,SAL,Rented,113,39,0
935531457,35,F,Married,2,42,Professional,SE_PROF,Owned,115,51,0
207206960,37,F,Married,1,46,Masters,SAL,Rented,88,47,0
200405820,37,M,Married,3,23,Masters,SAL,Rented,116,35,0
460812872,24,M,Single,4,37,Professional,SAL,Rented,108,58,0
256627938,38,M,Married,1,52,Masters,SE,Rented,34,55,0
975816172,53,M,Married,2,28,Professional,SE,Rented,111,56,0
80345957,43,M,Married,4,24,Bachelor,SAL,Rented,91,58,0
591520571,45,M,Married,3,41,Phd,SAL,Company provided,98,39,0
427009271,28,M,Single,4,54,Masters,SE,Rented,79,37,0
557210073,31,M,Single,3,24,Masters,SAL,Rented,94,57,0
105783753,42,M,Married,1,54,Masters,SE_PROF,Rented,95,34,0
503636582,38,F,Married,4,43,Phd,SE_PROF,Owned,110,53,0
515142397,39,M,Married,4,25,Bachelor,SE_PROF,Rented,106,46,0
930294497,43,M,Married,4,27,Professional,SE_PROF,Rented,106,47,0
15988053,17,M,Single,3,40,Bachelor,SE_PROF,Owned,108,44,1
245695711,32,M,Married,1,21,Masters,SAL,Rented,107,49,0
857204056,42,M,Married,4,41,Bachelor,SE_PROF,Rented,63,32,0
804375768,39,F,Single,5,43,Masters,SE,Rented,40,56,0
545603460,34,M,Married,5,46,Bachelor,SAL,Rented,114,52,0
635466046,35,M,Married,2,53,Professional,SAL,Rented,100,32,0
374714024,46,F,Married,2,45,Masters,SE,Rented,86,39,0
734320979,34,M,Married,1,33,Bachelor,SAL,Rented,106,37,0
851446312,40,M,Married,2,43,Bachelor,SE,Rented,70,54,0
541997551,46,M,Single,1,32,Masters,SE_PROF,Rented,111,35,0
316658575,36,M,Married,5,21,Bachelor,SE,Owned,103,54,0
871184719,30,M,Married,5,38,Masters,SE_PROF,Rented,110,44,0
188350076,50,M,Single,3,45,Masters,SE,Rented,96,32,0
74266440,40,M,Single,1,30,Masters,SE,Owned,89,56,0
437021868,36,M,Married,1,54,Professional,SE_PROF,Rented,109,47,0
454446102,42,F,Single,4,53,Professional,SAL,Rented,112,29,0
636061413,49,F,Married,4,44,Masters,SE,Owned,110,16,0
245212676,50,M,Married,3,24,Professional,SAL,Owned,114,29,0
328314807,35,M,Married,4,54,Masters,SAL,Rented,113,3,0
538137041,47,M,Married,1,32,Professional,SAL,Rented,116,26,0
405905855,43,M,Married,1,46,Bachelor,SE_PROF,Owned,92,56,0
903429706,44,M,Married,4,35,Masters,SE_PROF,Owned,91,55,0
207443506,20,F,Single,2,26,Masters,SE_PROF,Owned,115,35,0
498591301,30,M,Married,3,48,Phd,SAL,Owned,80,56,0
553384326,17,M,Single,3,19,Professional,SAL,Owned,72,54,0
716669357,39,M,Married,2,38,Professional,SAL,Rented,109,45,0
249478631,30,M,Single,2,47,Bachelor,SAL,Company provided,78,31,0
612747255,50,M,Married,2,18,Bachelor,SE,Rented,84,58,0
242563622,49,F,Married,3,44,Masters,SE_PROF,Rented,99,53,0
856303356,37,F,Married,3,13,Professional,SE_PROF,Rented,104,55,0
711573588,40,F,Married,1,47,Professional,SE_PROF,Rented,48,31,0
275321732,34,M,Married,5,40,Professional,SE,Rented,113,52,0
864762595,38,M,Married,1,52,Masters,SE_PROF,Rented,76,30,0
490791674,15,F,Single,2,36,Professional,SAL,Rented,112,50,0
338987573,21,M,Single,3,14,Masters,SAL,Rented,114,58,0
579385587,44,M,Married,4,43,Bachelor,SAL,Rented,77,35,0
509264233,39,M,Married,2,43,Professional,SE,Owned,70,58,0
589757152,29,M,Single,3,43,Professional,SE_PROF,Rented,88,47,0
823601643,26,M,Single,5,40,Bachelor,SE_PROF,Rented,75,55,0
204725124,20,M,Single,3,34,Professional,SAL,Owned,65,42,0
783066956,40,F,Married,4,53,Bachelor,SAL,Rented,110,14,0
784096131,35,F,Married,3,41,Professional,SAL,Rented,99,35,0
742973758,49,M,Single,3,37,Masters,SE_PROF,Rented,116,38,0
173912954,37,F,Married,4,42,Bachelor,SAL,Rented,108,50,0
683633589,30,M,Married,1,33,Masters,SAL,Rented,99,57,0
750439861,32,M,Married,2,53,Professional,SE_PROF,Rented,60,49,0
277269233,41,M,Single,3,2,Masters,SAL,Rented,107,55,0
680131756,29,M,Single,2,55,Bachelor,SAL,Rented,113,58,0
716349923,41,F,Married,1,33,Professional,SAL,Rented,107,51,0
802829199,43,M,Married,1,53,Masters,SAL,Rented,114,14,0
208337793,48,M,Married,4,38,Masters,SAL,Rented,81,38,0
512747142,32,F,Married,4,28,Professional,SE_PROF,Rented,114,15,0
757210556,50,M,Married,1,33,Masters,SAL,Rented,85,41,0
666412974,33,M,Married,3,44,Bachelor,SE,Rented,62,40,0
514841359,29,M,Single,4,43,Masters,SAL,Rented,116,46,0
774116942,32,M,Single,3,43,Masters,SAL,Rented,114,46,0
806426151,42,F,Married,5,32,Phd,SE_PROF,Owned,62,56,0
216247312,39,M,Married,2,52,Masters,SAL,Rented,46,34,0
295936947,50,M,Married,2,22,Masters,SAL,Rented,104,34,0
421651546,44,M,Married,2,36,Professional,SAL,Rented,70,57,0
838747117,42,M,Married,3,42,Bachelor,SE_PROF,Rented,99,36,0
806700044,40,F,Married,3,30,Masters,SAL,Rented,59,54,0
192431553,22,M,Single,2,40,Bachelor,SE,Rented,74,44,0
584758872,16,M,Single,2,24,Bachelor,SAL,Rented,111,43,0
730909716,32,M,Married,1,37,Bachelor,SAL,Rented,101,19,0
141509917,27,M,Single,1,23,Masters,SE_PROF,Owned,76,55,0
622547610,30,F,Married,5,44,Professional,SAL,Rented,102,40,0
183303733,34,M,Married,2,55,Phd,SE_PROF,Rented,111,5,0
902141383,32,M,Married,2,47,Masters,SAL,Rented,82,17,0
778847419,20,M,Single,3,21,Bachelor,SAL,Rented,101,49,0
26221006,37,F,Married,1,36,Professional,SE_PROF,Rented,79,24,0
272822166,26,M,Single,1,33,Bachelor,SAL,Rented,94,36,0
567521759,37,F,Married,5,45,Masters,SE,Rented,98,33,0
58031034,39,M,Married,3,51,Masters,SAL,Owned,33,35,0
154300197,42,M,Married,2,55,Professional,SAL,Rented,90,21,0
371679465,32,M,Married,2,46,Professional,SAL,Owned,116,49,0
651753616,44,M,Married,1,27,Bachelor,SAL,Rented,105,40,1
197874946,39,F,Married,2,45,Masters,SAL,Rented,116,48,0
238592116,46,M,Married,1,37,Phd,SE_PROF,Rented,114,8,0
36978499,24,M,Single,1,40,Bachelor,SAL,Company provided,112,36,0
895541015,50,M,Married,1,36,Professional,SAL,Rented,108,22,0
594802830,43,M,Married,2,50,Professional,SE_PROF,Rented,108,30,0
669448075,37,M,Married,3,13,Masters,SAL,Owned,104,43,0
920235479,38,M,Married,4,38,Bachelor,SE_PROF,Rented,99,40,0
388236460,38,M,Married,5,43,Professional,SAL,Rented,91,56,0
662675811,47,M,Married,1,18,Bachelor,SE,Rented,111,53,0
667932644,18,M,Single,3,38,Professional,SAL,Rented,103,45,0
947978347,30,F,Married,5,49,Masters,SE,Rented,113,46,0
556253254,44,M,Married,2,22,Bachelor,SAL,Owned,110,55,0
219624341,53,F,Married,1,42,Masters,SAL,Rented,84,45,0
379682446,39,F,Married,5,38,Professional,SE_PROF,Rented,114,46,0
535288966,46,M,Married,1,45,Professional,SE_PROF,Rented,64,55,0
734878799,37,M,Married,1,44,Masters,SAL,Rented,89,20,0
108578967,24,F,Single,3,36,Professional,SE_PROF,Rented,108,51,0
21899343,30,M,Married,2,47,Bachelor,SAL,Rented,105,44,0
466947501,35,M,Married,5,3,Masters,SAL,Rented,103,48,0
708563164,23,F,Single,4,39,Bachelor,SE_PROF,Rented,72,54,0
110063527,41,M,Married,2,53,Bachelor,SE_PROF,Rented,84,55,0
521305880,44,M,Married,5,44,Masters,SE_PROF,Rented,115,51,0
431760831,24,M,Single,1,37,Masters,SAL,Rented,81,45,0
415200191,28,M,Single,2,36,Professional,SAL,Owned,97,37,0
914966087,37,M,Married,2,6,Professional,SAL,Rented,111,41,0
982684122,39,F,Married,2,33,Masters,SAL,Owned,100,52,0
167351073,37,F,Married,4,44,Bachelor,SAL,Rented,93,31,0
250526316,51,F,Married,2,29,Masters,SAL,Rented,113,57,0
899343768,30,M,Married,1,50,Professional,SAL,Rented,107,53,0
841610930,33,M,Married,2,51,Professional,SAL,Rented,97,6,0
809229543,53,M,Married,5,45,Masters,SAL,Rented,72,44,0
233987346,39,M,Married,4,38,Masters,SE,Owned,70,56,0
208706398,46,M,Married,5,38,Bachelor,SE,Rented,116,46,0
10823506,32,M,Married,5,54,Bachelor,SAL,Rented,78,54,0
62184769,47,M,Married,3,38,Professional,SAL,Rented,104,39,0
838672300,28,M,Single,5,45,Bachelor,SE_PROF,Rented,110,43,0
150747330,26,M,Single,5,29,Masters,SAL,Rented,70,49,0
10724830,51,M,Married,3,41,Masters,SAL,Rented,92,39,0
847270747,42,F,Married,4,44,Bachelor,SAL,Rented,74,32,0
745670855,22,M,Single,2,39,Professional,SE_PROF,Rented,89,57,0
960653706,43,M,Married,1,47,Professional,SAL,Company provided,101,51,0
569263867,36,M,Married,5,32,Masters,SAL,Rented,116,39,0
419815145,44,F,Married,3,35,Bachelor,SAL,Rented,101,39,0
492307615,43,F,Married,3,39,Professional,SAL,Rented,101,43,0
700114610,33,M,Married,3,48,Bachelor,SAL,Rented,116,16,0
263709887,40,M,Married,3,54,Phd,SAL,Rented,104,33,0
110091211,38,M,Married,5,53,Masters,SE,Owned,103,48,0
576334140,18,M,Single,3,33,Bachelor,SAL,Living with Parents,70,58,0
952296559,37,M,Married,3,15,Bachelor,SAL,Company provided,113,42,0
831356580,51,M,Married,2,38,Phd,SAL,Rented,115,47,0
533548671,34,F,Married,4,50,Bachelor,SE,Owned,106,47,0
423577850,37,M,Married,5,34,Masters,SAL,Rented,78,46,0
906364272,48,M,Married,1,21,Bachelor,SAL,Owned,80,52,0
581094309,38,M,Married,2,29,Professional,SE,Rented,112,35,0
411854324,25,F,Single,5,40,Bachelor,SE_PROF,Rented,114,9,0
498611536,49,M,Married,3,16,Professional,SAL,Rented,112,57,0
30267517,18,M,Single,3,39,Professional,SE,Owned,50,46,0
53933334,42,M,Married,4,51,Masters,SE,Owned,106,46,0
149528904,15,M,Single,1,29,Masters,SAL,Rented,107,52,0
547518219,40,M,Married,4,47,Masters,SE_PROF,Rented,33,57,0
958867344,33,M,Married,4,52,Phd,SE,Rented,84,56,0
751595818,52,M,Married,5,36,Masters,SE,Rented,89,42,0
68720007,48,M,Married,2,41,Professional,SE,Rented,105,45,0
53438907,28,F,Single,1,45,Professional,SAL,Rented,102,50,0
392901899,37,F,Married,4,39,Masters,SAL,Rented,82,56,0
908974458,50,M,Married,3,18,Phd,SAL,Rented,114,58,0
952557092,43,M,Married,4,46,Bachelor,SAL,Rented,104,47,0
418100592,42,M,Married,5,53,Professional,SE_PROF,Owned,65,56,0
653287328,48,M,Married,5,15,Professional,SAL,Owned,107,58,0
539740352,38,F,Married,2,53,Bachelor,SE,Owned,96,43,0
455391398,37,M,Married,5,37,Professional,SAL,Rented,115,29,0
772306819,31,M,Married,3,54,Masters,SAL,Rented,95,46,0
290261491,41,F,Married,2,51,Phd,SE,Rented,110,3,0
211911150,48,M,Married,4,31,Bachelor,SAL,Rented,113,40,0
534651230,29,M,Single,2,28,Professional,SAL,Rented,114,58,0
839509273,52,F,Married,4,44,Bachelor,SAL,Rented,89,49,0
932368942,42,M,Married,2,28,Professional,SAL,Rented,106,52,0
104349448,44,M,Married,2,45,Bachelor,SAL,Owned,65,51,0
7203208,50,M,Married,5,38,Professional,SAL,Rented,71,41,0
