Application ID,No of times 90 DPD or worse in last 6 months,No of times 60 DPD or worse in last 6 months,No of times 30 DPD or worse in last 6 months,No of times 90 DPD or worse in last 12 months,No of times 60 DPD or worse in last 12 months,No of times 30 DPD or worse in last 12 months,Avgas CC Utilization in last 12 months,No of trades opened in last 6 months,No of trades opened in last 12 months,No of PL trades opened in last 6 months,No of PL trades opened in last 12 months,No of Inquiries in last 6 months (excluding home & auto loans),No of Inquiries in last 12 months (excluding home & auto loans),Presence of open home loan,Outstanding Balance,Total No of Trades,Presence of open auto loan,Performance Tag
841163519,0,0,0,0,0,0,8,0,1,0,0,0,0,1,3137683,3,1,0
552541920,0,0,0,0,0,0,10,0,0,0,0,0,0,0,459298,2,1,0
703718903,0,0,0,0,0,0,15,1,3,0,0,0,0,1,3742790,5,1,0
415294,0,0,0,0,0,0,11,1,1,0,0,0,0,1,2998528,1,0,0
639917916,0,0,0,0,0,0,4,1,2,0,0,0,0,1,3761632,4,1,0
291477332,0,0,0,0,0,0,6,1,1,0,0,0,0,0,227676,3,1,0
734302180,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3006914,1,0,0
898214744,0,0,0,0,0,0,3,1,2,0,0,0,0,1,3777680,2,1,0
504040605,0,0,0,0,0,0,4,1,1,0,0,0,0,1,2998570,2,0,0
757612963,0,0,0,0,0,0,11,0,1,0,0,0,0,1,3720196,1,1,0
372382604,0,0,0,0,0,0,5,1,2,0,0,0,0,0,3075,3,0,0
483063095,0,0,0,0,0,0,5,0,1,0,0,0,0,1,3004614,2,0,0
242945486,0,0,0,0,0,0,13,1,1,0,0,0,0,1,3004661,3,0,0
638367091,0,0,0,0,0,0,4,1,1,0,0,0,0,0,168843,4,1,0
204228510,0,0,0,0,0,0,4,1,1,0,0,0,0,0,6771,3,0,0
846804601,0,0,0,0,0,0,7,1,2,0,0,0,0,1,3809945,3,1,0
753920840,0,0,0,0,0,0,10,1,1,0,0,0,0,1,3013292,3,0,0
608997825,0,0,0,0,0,0,11,0,0,0,0,0,0,0,2918,2,0,0
243687802,0,0,0,0,0,0,8,1,1,0,0,0,0,0,634281,1,1,0
910832278,0,0,0,0,0,0,6,0,0,0,0,0,0,1,3007949,1,0,0
410188098,0,0,0,0,0,0,4,0,1,0,0,0,0,0,3594,2,0,0
838128115,0,0,0,0,0,0,8,0,1,0,0,0,0,1,2994256,1,0,0
96037400,0,0,0,0,0,0,6,0,0,0,0,0,0,1,3223028,2,1,0
985689740,0,0,0,0,0,0,5,1,2,0,0,0,0,1,2996886,3,0,0
442653005,0,0,0,0,0,0,3,0,1,0,0,0,0,1,3222208,3,1,0
25124967,0,0,0,0,0,0,3,1,2,0,0,0,0,1,3295697,4,1,0
657744163,0,0,0,0,0,0,5,0,1,0,0,0,0,1,2995333,2,0,0
927100662,0,0,0,0,0,0,5,1,2,0,0,0,0,0,23543,2,0,0
624372823,0,0,0,0,0,0,7,0,0,0,0,0,0,0,17821,2,1,0
788194400,0,0,0,0,0,0,7,1,1,0,0,0,0,1,3004710,2,0,0
890314557,0,0,0,0,0,0,4,1,1,0,0,0,0,1,2993736,3,0,0
978872522,0,0,0,0,0,0,4,1,2,0,0,0,0,1,3001454,4,0,0
666356311,0,0,0,0,0,0,10,0,0,0,0,0,0,1,3583295,1,1,0
785517573,0,0,0,0,0,0,2,0,1,0,0,0,0,1,3005355,2,0,0
851643331,0,0,0,0,0,0,10,1,2,0,0,0,0,0,9932,4,0,0
674581211,0,0,0,0,0,0,7,0,1,0,0,0,0,1,3014230,4,0,0
63688688,0,0,0,0,0,0,10,1,2,0,0,0,0,0,1443,4,0,0
740523134,0,0,0,0,0,0,8,1,2,0,0,0,0,0,563336,5,1,0
274251839,0,0,0,0,0,0,11,1,1,0,0,0,0,1,3646483,3,1,0
671402281,0,0,0,0,0,0,9,0,0,0,0,0,0,1,2993832,1,0,0
781513760,0,0,0,0,0,0,8,0,1,0,0,0,0,1,3111837,4,1,0
257007409,0,0,0,0,0,0,13,1,2,0,0,0,0,1,2995714,3,0,0
799702442,0,0,0,0,0,0,7,1,1,0,0,0,0,1,3019400,2,0,0
852632983,0,0,0,0,0,0,8,0,0,0,0,0,0,0,777515,1,1,0
513613043,0,0,0,0,0,0,7,1,2,0,0,0,0,0,11479,4,0,0
167815183,0,0,0,0,1,2,9,0,1,0,0,0,0,0,76058,2,1,0
537291350,0,0,0,0,1,2,4,0,0,0,0,0,0,0,11269,1,0,0
845835388,0,0,0,0,1,2,3,0,1,0,0,0,0,0,14261,2,0,0
923613300,0,0,0,0,1,2,6,1,1,0,0,0,0,1,3651274,2,1,0
239609037,0,0,0,0,1,2,12,1,2,0,0,0,0,0,9424,5,0,0
65381112,0,0,0,0,1,2,6,1,1,0,0,0,0,1,3834561,3,1,0
763449129,0,0,0,0,1,2,7,0,1,0,0,0,0,1,2992818,3,0,0
694501316,0,0,0,0,1,2,9,1,1,0,0,0,0,1,3010426,2,0,0
142586227,0,0,0,0,1,2,7,0,1,0,0,0,0,0,3832,4,0,0
37184163,0,0,0,0,1,2,1,0,1,0,0,0,0,1,3729782,2,1,0
92044169,0,0,0,0,1,2,7,1,1,0,0,0,0,0,10912,3,0,0
507928401,0,0,0,0,1,2,,0,0,0,0,0,1,0,0,0,0,0
49503138,0,0,0,0,1,2,7,0,0,0,0,0,0,0,10776,3,0,0
386893064,0,0,0,0,1,2,9,1,2,0,0,0,0,0,7094,3,0,0
792005042,0,0,0,0,1,2,4,1,1,0,0,0,0,0,3305,3,0,0
951114135,0,0,0,0,1,2,12,1,2,0,0,0,0,0,8259,3,0,0
36383287,0,0,0,0,1,2,6,1,2,0,0,0,0,1,2992014,4,0,0
73999371,0,0,0,0,1,2,8,1,2,0,0,0,0,1,3003586,3,0,0
316181118,0,0,0,0,1,2,7,0,0,0,0,0,0,1,3206635,2,1,0
58911008,0,0,0,0,1,2,9,0,0,0,0,0,0,1,2998235,2,0,0
12828838,0,0,0,0,1,2,7,1,2,0,0,0,0,1,3894568,3,1,0
6821665,0,0,0,0,1,2,7,1,1,0,0,0,0,1,3790266,4,1,0
469007470,0,0,0,0,1,2,8,1,2,0,0,0,0,1,2999172,4,0,0
485154616,0,0,0,0,1,2,10,1,2,0,0,0,0,0,3174,4,0,0
925666948,0,0,0,0,1,2,5,1,2,0,0,0,0,0,11782,3,0,0
300806796,0,0,0,0,1,1,10,0,0,0,0,0,0,0,206534,1,1,0
306411477,0,0,0,0,1,1,7,0,0,0,0,0,0,1,2994550,1,0,0
716602738,0,0,0,0,1,1,13,1,1,0,0,0,0,1,3083753,2,1,0
51700621,0,0,0,0,1,1,8,1,2,0,0,0,0,1,3002450,3,0,0
625780313,0,0,0,0,1,1,12,1,1,0,0,0,0,1,3005171,3,0,0
820265039,0,0,0,0,1,1,12,0,1,0,0,0,0,0,670234,2,1,0
970833252,0,0,0,0,1,1,6,1,2,0,0,0,0,0,18170,4,0,0
638549140,0,0,0,0,1,1,11,0,0,0,0,0,0,1,3752657,1,1,0
814624395,0,0,0,0,1,1,,0,0,0,0,1,2,0,0,0,0,0
12359984,0,0,0,0,1,1,13,0,0,0,0,0,0,1,3125297,1,1,0
511416724,0,0,0,0,1,1,7,0,1,0,0,0,0,0,15221,1,0,0
152882413,0,0,0,0,1,1,8,1,1,0,0,0,0,0,331073,2,1,0
903991761,0,0,0,0,1,1,10,1,2,0,0,0,0,1,3006333,4,0,0
424702845,0,0,0,0,1,1,11,1,1,0,0,0,0,1,2991671,2,0,0
85208703,0,0,0,0,1,1,6,0,0,0,0,0,0,1,2995979,1,0,0
626486729,0,0,0,0,1,1,9,1,1,0,0,0,0,1,3013676,3,0,0
94778163,0,0,0,0,1,1,9,1,1,0,0,0,0,1,3003167,3,0,0
931570971,0,0,0,0,1,1,6,1,1,0,0,0,0,1,3655503,3,1,0
738698604,0,0,0,0,1,1,7,0,1,0,0,0,0,0,12708,3,0,0
454397596,0,0,0,0,1,1,8,0,0,0,0,0,0,1,3380943,1,1,0
375849313,0,0,0,0,1,1,7,0,1,0,0,0,0,0,19632,3,0,0
654953904,0,0,0,0,1,1,3,1,1,0,0,0,0,1,3342741,4,1,0
821252302,0,0,0,0,1,1,2,1,1,0,0,0,0,1,3124605,2,1,0
93310130,0,0,0,0,1,1,9,0,1,0,0,0,0,0,518955,2,1,0
358869535,0,0,0,0,1,1,5,0,1,0,0,0,0,1,3457530,3,1,0
297326857,0,0,0,0,1,1,10,0,1,0,0,0,0,0,11265,3,0,0
610389469,0,0,0,0,1,1,7,1,1,0,0,0,0,0,20486,4,0,0
928919840,0,0,0,0,1,1,8,1,2,0,0,0,0,1,2997116,3,0,0
664046834,0,0,0,0,1,1,9,0,1,0,0,0,0,1,2994780,4,0,0
3512302,0,0,0,0,1,1,8,0,0,0,0,0,0,1,3005698,3,0,0
607681662,0,0,0,0,1,1,9,1,1,0,0,0,0,0,3827,3,0,0
917111281,0,0,0,0,1,1,4,1,1,0,0,0,0,0,5035,3,0,0
261174027,0,0,0,0,1,1,6,1,1,0,0,0,0,1,2993687,3,0,0
386992862,0,0,0,0,1,1,7,0,1,0,0,0,0,0,2818,3,0,0
118748072,0,0,0,0,1,1,3,1,2,0,0,0,0,0,12889,4,0,0
902482925,0,0,0,0,1,1,8,0,1,0,0,0,0,0,876802,4,1,0
636812926,0,0,0,0,1,1,8,1,2,0,0,0,0,0,872971,2,1,0
43793358,0,0,0,0,1,1,1,1,1,0,0,0,0,0,458490,2,1,0
727235790,0,0,0,0,1,1,11,1,1,0,0,0,0,0,197307,2,1,0
740390793,0,0,0,0,1,1,1,1,2,0,0,0,0,0,724429,3,1,0
110870585,0,0,0,0,1,1,7,1,1,0,0,0,0,0,8297,1,0,0
451417087,0,0,0,0,1,1,8,0,1,0,0,0,0,0,156747,3,1,0
962570346,0,0,0,0,1,1,5,1,1,0,0,0,0,1,2993573,2,0,0
201828698,0,0,0,0,1,1,12,1,2,0,0,0,0,0,20137,3,0,0
181248481,0,0,0,0,1,1,7,0,0,0,0,0,0,1,3424537,1,1,0
797770011,0,0,0,0,1,1,6,0,1,0,0,0,0,1,3000558,4,0,0
363083732,0,0,0,0,1,1,9,0,0,0,0,0,0,1,2999358,1,0,0
596259612,0,0,0,0,1,1,8,0,0,0,0,0,0,0,482,1,0,0
627605933,0,0,0,0,1,1,6,1,2,0,0,0,0,1,2993544,4,0,0
842044888,0,0,0,0,1,1,7,1,2,0,0,0,0,1,3366379,4,1,0
506714441,0,0,0,0,1,1,8,0,0,0,0,0,0,0,410063,1,1,0
125043285,0,0,0,0,1,1,,0,0,0,0,1,1,0,0,0,0,0
231343682,0,0,0,0,1,1,13,0,0,0,0,0,0,0,6192,1,0,0
312810588,0,0,0,0,1,1,9,0,0,0,0,0,0,0,3284,1,0,0
579409437,0,0,0,0,1,1,6,1,1,0,0,0,0,0,18525,2,0,0
818024607,0,0,0,0,1,1,7,0,1,0,0,0,0,1,2995238,2,0,0
417910724,0,0,0,0,1,1,11,1,2,0,0,0,0,0,366860,3,1,0
397441875,0,0,0,0,1,1,10,0,0,0,0,0,0,0,13274,3,0,0
995611861,0,0,0,0,1,1,6,1,2,0,0,0,0,0,6556,3,0,0
117108588,0,0,0,0,1,1,12,0,1,0,0,0,0,1,3006494,3,0,0
680687947,0,0,0,0,1,1,5,1,2,0,0,0,0,1,3006643,3,0,0
609881561,0,0,0,0,0,0,7,0,1,0,0,0,0,1,3009396,2,0,0
425487366,0,0,0,0,0,0,3,0,0,0,0,0,0,0,14167,2,0,0
345908033,0,0,0,0,0,0,6,1,2,0,0,0,0,0,2891,4,0,0
398363105,0,0,0,0,0,0,10,0,0,0,0,0,0,0,12407,3,0,0
121200920,0,0,0,0,0,0,2,0,0,0,0,0,0,0,14947,3,0,0
100752550,0,0,0,0,0,0,7,0,1,0,0,0,0,0,3273,2,0,0
122140277,0,0,0,0,0,0,7,1,1,0,0,0,0,1,2998784,1,0,0
599094378,0,0,0,0,0,0,10,0,1,0,0,0,0,0,11907,4,0,0
933542432,0,0,0,0,0,0,6,0,1,0,0,0,0,0,2743,3,0,0
816982638,0,0,0,0,0,0,13,1,1,0,0,0,0,1,3001097,1,0,0
970523127,0,0,0,0,0,0,,0,0,0,0,1,3,0,0,0,0,0
234607091,0,0,0,0,0,0,3,1,2,0,0,0,0,0,1277,3,0,0
935531457,0,0,0,0,0,0,10,1,1,0,0,0,0,0,4180,2,0,0
207206960,0,0,0,0,0,0,7,0,1,0,0,0,0,0,10297,3,0,0
200405820,0,0,0,0,0,0,10,1,2,0,0,0,0,1,3001528,2,0,0
460812872,0,0,0,0,0,0,10,1,2,0,0,0,0,0,12142,4,0,0
256627938,0,0,0,0,0,0,12,1,1,0,0,0,0,1,3008792,3,0,0
975816172,0,0,0,0,0,0,9,1,2,0,0,0,0,0,5929,3,0,0
80345957,0,0,0,0,0,0,7,1,2,0,0,0,0,1,2992779,2,0,0
591520571,0,0,0,0,0,0,13,1,1,0,0,0,0,1,2991821,2,0,0
427009271,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0
557210073,0,0,0,0,0,0,7,1,1,0,0,0,0,0,4440,2,0,0
105783753,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2649,2,0,0
503636582,0,0,0,0,0,0,11,1,1,0,0,0,0,0,4415,3,0,0
515142397,0,0,0,0,0,0,4,1,2,0,0,0,0,0,18965,3,0,0
930294497,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3001447,2,0,0
15988053,0,0,0,0,0,0,9,1,1,0,0,0,0,1,2993697,2,0,1
245695711,0,0,0,0,0,0,6,0,0,0,0,0,0,1,3010630,1,0,0
857204056,0,0,0,0,0,0,11,1,1,0,0,0,0,1,3010815,3,0,0
804375768,0,0,0,0,0,0,7,1,2,0,0,0,0,1,3000505,3,0,0
545603460,0,0,0,0,0,0,9,1,2,0,0,0,0,1,2991921,4,0,0
635466046,0,0,0,0,0,0,5,0,1,0,0,0,0,1,2996085,1,0,0
374714024,0,0,0,0,0,0,4,0,1,0,0,0,0,0,3591,3,0,0
734320979,0,0,0,0,0,0,6,1,2,0,0,0,0,1,2995197,4,0,0
851446312,0,0,0,0,0,0,6,0,1,0,0,0,0,1,2996694,3,0,0
541997551,0,0,0,0,0,0,8,0,1,0,0,0,0,0,300639,2,1,0
316658575,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1105,3,0,0
871184719,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4418,2,0,0
188350076,0,0,0,0,0,0,11,0,1,0,0,0,0,0,3217,3,0,0
74266440,0,0,0,0,0,0,7,1,1,0,0,0,0,0,3319,1,0,0
437021868,0,0,0,0,0,0,7,0,0,0,0,0,0,0,12954,3,0,0
454446102,0,0,0,0,0,0,13,1,2,0,0,0,0,1,2992953,5,0,0
636061413,0,0,0,0,0,0,7,0,0,0,0,0,0,1,2998140,1,0,0
245212676,0,0,0,0,0,0,10,0,1,0,0,0,0,0,647468,4,1,0
328314807,0,0,0,0,0,0,13,1,2,0,0,0,0,1,3000648,4,0,0
538137041,0,0,0,0,0,0,12,1,2,0,0,0,0,1,3006412,4,0,0
405905855,0,0,0,0,0,0,12,1,2,0,0,0,0,1,2997846,4,0,0
903429706,0,0,0,0,0,0,7,1,2,0,0,0,0,1,3838432,3,1,0
207443506,0,0,0,0,0,0,5,1,2,0,0,0,0,1,3006638,5,0,0
498591301,0,0,0,0,0,0,5,1,2,0,0,0,0,1,3001748,3,0,0
553384326,0,0,0,0,0,0,1,1,1,0,0,0,0,0,16426,2,0,0
716669357,0,0,0,0,0,0,3,1,1,0,0,0,0,0,13228,3,0,0
249478631,0,0,0,0,0,0,7,1,1,0,0,0,0,0,13703,3,0,0
612747255,0,0,0,0,0,0,6,0,0,0,0,0,0,1,3324549,1,1,0
242563622,0,0,0,0,0,0,7,1,1,0,0,0,0,0,2547,3,0,0
856303356,0,0,0,0,0,0,13,1,2,0,0,0,0,0,7183,2,0,0
711573588,0,0,0,0,0,0,5,1,2,0,0,0,0,0,22531,3,0,0
275321732,0,0,0,0,0,0,5,1,1,0,0,0,0,0,3567,3,0,0
864762595,0,0,0,0,0,0,7,0,1,0,0,0,0,0,11463,3,0,0
490791674,0,0,0,0,0,0,9,1,1,0,0,0,0,1,3001433,4,0,0
338987573,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3006983,1,0,0
579385587,0,0,0,0,0,0,6,0,0,0,0,0,0,0,15397,2,0,0
509264233,0,0,0,0,0,0,7,1,1,0,0,0,0,0,12673,4,0,0
589757152,0,0,0,0,0,0,8,1,1,0,0,0,0,1,2991631,3,0,0
823601643,0,0,0,0,0,0,6,1,1,0,0,0,0,1,2994322,3,0,0
204725124,0,0,0,0,0,0,3,1,1,0,0,0,0,0,6168,3,0,0
783066956,0,0,0,0,0,0,9,0,0,0,0,0,0,0,10951,1,0,0
784096131,0,0,0,0,0,0,5,1,2,0,0,0,0,1,3002008,5,0,0
742973758,0,0,0,0,0,0,9,0,0,0,0,0,0,1,3006143,2,0,0
173912954,0,0,0,0,0,0,6,0,1,0,0,0,0,1,2993418,1,0,0
683633589,0,0,0,0,0,0,6,2,2,0,0,0,0,0,23468,4,0,0
750439861,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3353,2,0,0
277269233,0,0,0,0,0,0,4,1,2,0,0,0,0,0,14835,2,0,0
680131756,0,0,0,0,0,0,5,0,1,0,0,0,0,1,3384480,2,1,0
716349923,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3002720,3,0,0
802829199,0,0,0,0,0,0,7,1,1,0,0,0,0,1,3005259,3,0,0
208337793,0,0,0,0,0,0,5,1,1,0,0,0,0,0,21672,4,0,0
512747142,0,0,0,0,0,0,13,0,0,0,0,0,0,0,11864,2,0,0
757210556,0,0,0,0,0,0,5,1,2,0,0,0,0,1,3008097,3,0,0
666412974,0,0,0,0,0,0,10,1,2,0,0,0,0,0,2624,3,0,0
514841359,0,0,0,0,0,0,7,0,1,0,0,0,0,1,3350690,4,1,0
774116942,0,0,0,0,0,0,9,1,2,0,0,0,0,0,13687,3,0,0
806426151,0,0,0,0,0,0,3,1,1,0,0,0,0,1,2996354,4,0,0
216247312,0,0,0,0,0,0,6,0,1,0,0,0,0,0,407046,4,1,0
295936947,0,0,0,0,0,0,9,0,1,0,0,0,0,0,1402,4,0,0
421651546,0,0,0,0,0,0,8,1,2,0,0,0,0,1,3007770,5,0,0
838747117,0,0,0,0,0,0,11,0,0,0,0,0,0,1,2996389,3,0,0
806700044,0,0,0,0,0,0,7,1,2,0,0,0,0,1,2993450,3,0,0
192431553,0,0,0,0,0,0,11,0,0,0,0,0,0,0,9917,2,0,0
584758872,0,0,0,0,0,0,10,1,1,0,0,0,0,1,3757705,2,1,0
730909716,0,0,0,0,0,0,7,1,1,0,0,0,0,1,3003699,1,0,0
141509917,0,0,0,0,0,0,8,0,0,0,0,0,0,0,12740,2,0,0
622547610,0,0,0,0,0,0,8,0,1,0,0,0,0,0,3138,2,0,0
183303733,0,0,0,0,0,0,10,0,0,0,0,0,0,0,190570,2,1,0
902141383,0,0,0,0,0,0,5,0,1,0,0,0,0,1,2993103,4,0,0
778847419,0,0,0,0,0,0,7,1,1,0,0,0,0,1,2998446,3,0,0
26221006,0,0,0,0,0,0,3,1,2,0,0,0,0,1,2990689,3,0,0
272822166,0,0,0,0,0,0,7,0,1,0,0,0,0,0,2063,4,0,0
567521759,0,0,0,0,0,0,8,1,2,0,0,0,0,1,3308450,5,1,0
